id,model,cleaned_text
freedom_ai_labs_0001,Qwen3-8B-bfloat16,Сәлеметсіз! Менің есімім Жанель. Сізге қандай көмек көрсетсеңіз?
freedom_ai_labs_0002,Qwen3-8B-bfloat16,"Сәлеметсіз бе? Мен қазір Шымкент-Ақтөбе бойынша бүгін ұшамын, да Шымкенттен ыыы сұрайын дегенім, регистрация қалай жасаймыз?"
freedom_ai_labs_0003,Qwen3-8B-bfloat16,"Мхм, осы номер арқылы алдыңыз ба, билетіңізді?"
freedom_ai_labs_0004,Qwen3-8B-bfloat16,Иә!
freedom_ai_labs_0005,Qwen3-8B-bfloat16,Шымкент-Ақтөбе бағыты бойынша.
freedom_ai_labs_0006,Qwen3-8B-bfloat16,Иә!
freedom_ai_labs_0007,Qwen3-8B-bfloat16,"Аха, сізге III Скат әуе компаниясының сайтына кіру керек болады."
freedom_ai_labs_0008,Qwen3-8B-bfloat16,"Сереза, Google-ға кіреміз бе?"
freedom_ai_labs_0009,Qwen3-8B-bfloat16,Иә.
freedom_ai_labs_0010,Qwen3-8B-bfloat16,Сосын!
freedom_ai_labs_0011,Qwen3-8B-bfloat16,"Содан кейін өзіңіздің нөмірін бронь бронь нөмірімен, өзіңіздің тегіңізді жазсаңыз, әрі қарай регистрация і орысша жазылып тұрады, сол жерге түсінікті көрсетіліп тұрады."
freedom_ai_labs_0012,Qwen3-8B-bfloat16,"А негізі максимум телефоннан регистрация жасай алмасам, қырық минут алды болуым керек қой, дұрыс па?"
freedom_ai_labs_0013,Qwen3-8B-bfloat16,Ия.
freedom_ai_labs_0014,Qwen3-8B-bfloat16,Перевод салып беріңіздер ма? Телефон бойынша мен сізге айтамын.
freedom_ai_labs_0015,Qwen3-8B-bfloat16,"Аха, жақсы, қазір онда желіде күтсеңіз, мен сіз үшін өтіп көрейін."
freedom_ai_labs_0016,Qwen3-8B-bfloat16,Желде күткеніңіз үшін рахмет! Естіп тұрмын ба?
freedom_ai_labs_0017,Qwen3-8B-bfloat16,"Иә, иә!"
