example_id,language,asr_model,source_file,row_index,reference_clean
en_fastconformer_kk_ru_0001,en,fastconformer_kk_ru,noisy_bench_v1_en/fastconformer_kk_ru.tsv,1,can we push the product launch date by two weeks to give engineering more time to fix the critical bugs i dont want to ship something unstable
en_fastconformer_kk_ru_0002,en,fastconformer_kk_ru,noisy_bench_v1_en/fastconformer_kk_ru.tsv,2,your customer service line put me on hold for over an hour before disconnecting the call thats completely unacceptable
en_fastconformer_kk_ru_0003,en,fastconformer_kk_ru,noisy_bench_v1_en/fastconformer_kk_ru.tsv,3,get me a bacon cheeseburger with jalapeños and a large coke ill also take a chocolate shake if you have them
en_fastconformer_kk_ru_0004,en,fastconformer_kk_ru,noisy_bench_v1_en/fastconformer_kk_ru.tsv,4,please void the check i wrote yesterday number four seven two one i need to reissue it with a corrected amount
en_fastconformer_kk_ru_0005,en,fastconformer_kk_ru,noisy_bench_v1_en/fastconformer_kk_ru.tsv,5,the conference app keeps crashing every time i try to view the schedule its been unusable since this morning and nobody seems to acknowledge it
en_fastconformer_kk_ru_0006,en,fastconformer_kk_ru,noisy_bench_v1_en/fastconformer_kk_ru.tsv,6,ive raised the bandwidth issue three times in the last month and nothing has changed im tired of repeating myself in these meetings
en_fastconformer_kk_ru_0007,en,fastconformer_kk_ru,noisy_bench_v1_en/fastconformer_kk_ru.tsv,7,strong documentation culture isnt glamorous but its the backbone of a well run organization im glad were investing in it
en_fastconformer_kk_ru_0008,en,fastconformer_kk_ru,noisy_bench_v1_en/fastconformer_kk_ru.tsv,8,do you have any special mortgage programs for first time homebuyers were just starting to look at properties
en_fastconformer_kk_ru_0009,en,fastconformer_kk_ru,noisy_bench_v1_en/fastconformer_kk_ru.tsv,9,could you please check the balance on my checking account i think a recent transaction might not have posted yet
en_fastconformer_kk_ru_0010,en,fastconformer_kk_ru,noisy_bench_v1_en/fastconformer_kk_ru.tsv,10,i usually go with the grilled chicken sandwich but today im feeling adventurous maybe ill try the fish burger instead
en_fastconformer_kk_ru_0011,en,fastconformer_kk_ru,noisy_bench_v1_en/fastconformer_kk_ru.tsv,11,that panel discussion on responsible ai governance was one of the most thoughtful conversations ive heard at any tech event every perspective added value
en_fastconformer_kk_ru_0012,en,fastconformer_kk_ru,noisy_bench_v1_en/fastconformer_kk_ru.tsv,12,what programming language is the sdk primarily built in i need to know before committing our team to the migration
en_fastconformer_kk_ru_0013,en,fastconformer_kk_ru,noisy_bench_v1_en/fastconformer_kk_ru.tsv,13,the internet has gone down twice during client calls this week and its embarrassing our infrastructure reliability is becoming a business risk
en_fastconformer_kk_ru_0014,en,fastconformer_kk_ru,noisy_bench_v1_en/fastconformer_kk_ru.tsv,14,is there a limit on how many free checks i get per year with my account type im running low
en_fastconformer_kk_ru_0015,en,fastconformer_kk_ru,noisy_bench_v1_en/fastconformer_kk_ru.tsv,15,these cinnamon sugar churros from the dessert stand are unbelievable we need to get another batch
en_fastconformer_kk_ru_0016,en,fastconformer_kk_ru,noisy_bench_v1_en/fastconformer_kk_ru.tsv,16,we just funded our grandchildrens college savings accounts and it feels so good this is the best investment well ever make
en_fastconformer_kk_ru_0017,en,fastconformer_kk_ru,noisy_bench_v1_en/fastconformer_kk_ru.tsv,17,i cant believe how good that teriyaki bowl turned out the sauce was perfectly balanced with the rice
