id,model,cleaned_text
freedom_ai_labs_0021,Qwen3-8B-bfloat16-edits-v2-heldout,Мына ша бес фаз жақты болады ма?
freedom_ai_labs_0022,Qwen3-8B-bfloat16-edits-v2-heldout,"Бес ф жағы бос емес екен, бес а ғана бос екен."
freedom_ai_labs_0023,Qwen3-8B-bfloat16-edits-v2-heldout,"Хорошо, тиынымды айтсам болды ма?"
freedom_ai_labs_0024,Qwen3-8B-bfloat16-edits-v2-heldout,"жоқ, қазір күте тұрсаңыз, мен сізге посадочный талоныңызды жіберетін боламын."
freedom_ai_labs_0025,Qwen3-8B-bfloat16-edits-v2-heldout,Ештеңе айту қажет жоқ та.
freedom_ai_labs_0026,Qwen3-8B-bfloat16-edits-v2-heldout,"Жоқ, ештеңе айтпасаңыз да болады. Қазір тіркелген өткен болатынмын."
freedom_ai_labs_0027,Qwen3-8B-bfloat16-edits-v2-heldout,Үш көрік түсті.
freedom_ai_labs_0028,Qwen3-8B-bfloat16-edits-v2-heldout,"Сіздің почтаңызға жіберетіні боламын, тексеріп көрсеңіз."
freedom_ai_labs_0029,Qwen3-8B-bfloat16-edits-v2-heldout,Почта мысалы коммуна деген ба?
freedom_ai_labs_0030,Qwen3-8B-bfloat16-edits-v2-heldout,Иә.
freedom_ai_labs_0031,Qwen3-8B-bfloat16-edits-v2-heldout,Сол жерден скачать етіп ала алады ма?
freedom_ai_labs_0032,Qwen3-8B-bfloat16-edits-v2-heldout,"Иә, қазір кіріп көріп аласыз ба? Сізге  келді ме? Тексеріп көрсеңіз."
freedom_ai_labs_0033,Qwen3-8B-bfloat16-edits-v2-heldout,"Менде қазір сізбен сөйлесіп тұрған, иә."
freedom_ai_labs_0034,Qwen3-8B-bfloat16-edits-v2-heldout,"А келмейді аха, жақсы онда і кейін тексеріп көрсеңіз болады. Сол скачать етіп аэропортқа барғанда посадочный талоныңызды көрсетсеңіз і өте бересіз."
freedom_ai_labs_0035,Qwen3-8B-bfloat16-edits-v2-heldout," и қараныз, мысалы қазір регистрация жасап қойдық, дұрыс па?"
freedom_ai_labs_0036,Qwen3-8B-bfloat16-edits-v2-heldout,"Иә, жасап қойдық."
freedom_ai_labs_0037,Qwen3-8B-bfloat16-edits-v2-heldout,"Енді қараңыздар, мысалға, қырық минут емес, отыз бес минут қалғанына барсамын да кіріп кете аламын ғой, дұрыс па?"
freedom_ai_labs_0038,Qwen3-8B-bfloat16-edits-v2-heldout,"Иә, кіргізеді түсті."
freedom_ai_labs_0039,Qwen3-8B-bfloat16-edits-v2-heldout,Проблема жоқ та.
freedom_ai_labs_0040,Qwen3-8B-bfloat16-edits-v2-heldout,"Иә, бірақ кешікпей барғыңыз дұрыс болады."
freedom_ai_labs_0041,Qwen3-8B-bfloat16-edits-v2-heldout,"Ах, түсінді. Үлкен рахмет! Сау аман болыңыздар!"
freedom_ai_labs_0042,Qwen3-8B-bfloat16-edits-v2-heldout,"Ах, хабарласқаныңызға рахмет! Сау болыңыз!"
freedom_ai_labs_0043,Qwen3-8B-bfloat16-edits-v2-heldout,Растықты.
freedom_ai_labs_0044,Qwen3-8B-bfloat16-edits-v2-heldout,Сәлеметсіз бе?  маған жаңа смс келді де сіз заказ не сіз куплен деп. Не себепті екенін біліп бере аласыз ба?
freedom_ai_labs_0045,Qwen3-8B-bfloat16-edits-v2-heldout,Сіз чоколадтан тапсырыс жасап па едіңіз?
freedom_ai_labs_0046,Qwen3-8B-bfloat16-edits-v2-heldout,"Жоқ, Чоколайфтан бассейнге сертификат алған едік қой."
