id,model,cleaned_text
freedom_ai_labs_0001,Qwen3-8B-bfloat16-edits-smoke,Сәлеметсіз! Менің есімім Жанель. Сізге қандай көмек көрсетсеңіз?
freedom_ai_labs_0002,Qwen3-8B-bfloat16-edits-smoke,Саламатсыз ба? Мен қазір Шымкент Ақтөбе бойынша бүгін ұшамын да Шымкенттен  сұрайын дегенім регистрация қалай жасаймыз?
freedom_ai_labs_0003,Qwen3-8B-bfloat16-edits-smoke,", осы номер арқылы алдыңыз ба билетіңізді?"
freedom_ai_labs_0004,Qwen3-8B-bfloat16-edits-smoke,Иә!
freedom_ai_labs_0005,Qwen3-8B-bfloat16-edits-smoke,Шымкент-Ақтөбе бағыты бойынша.
freedom_ai_labs_0006,Qwen3-8B-bfloat16-edits-smoke,Иә!
freedom_ai_labs_0007,Qwen3-8B-bfloat16-edits-smoke,"Аха, сізге  Скать әуе компаниясының сайтына кіру керек болады."
freedom_ai_labs_0008,Qwen3-8B-bfloat16-edits-smoke,Сереза гугл кіреріміз ба?
freedom_ai_labs_0009,Qwen3-8B-bfloat16-edits-smoke,Иә.
freedom_ai_labs_0010,Qwen3-8B-bfloat16-edits-smoke,Сосын!
freedom_ai_labs_0011,Qwen3-8B-bfloat16-edits-smoke,"Содан кейін өзіңіздің нөмір бронь нөмірімен, өзіңіздің тегіңізді жазсаңыз әрі қарай регистрация і жазылып тұрады, сол жерге түсінікті көрсетіліп тұрады."
freedom_ai_labs_0012,Qwen3-8B-bfloat16-edits-smoke,"А негізі максимум телефоннан регистрация жасай алмаймын, қырық минут алды болуым керек қой, дұрыс па?"
freedom_ai_labs_0013,Qwen3-8B-bfloat16-edits-smoke,Ия.
freedom_ai_labs_0014,Qwen3-8B-bfloat16-edits-smoke,Перевод салып беріңіз ма? Телефон бойынша мен сізге айтамын.
freedom_ai_labs_0015,Qwen3-8B-bfloat16-edits-smoke,"Аха, жақсы қазір онда желіде күтсеңіз, мен сіз үшін өтіп көремін."
freedom_ai_labs_0016,Qwen3-8B-bfloat16-edits-smoke,Желде күткеніңіз үшін рахмет! Естіп тұрын ба?
freedom_ai_labs_0017,Qwen3-8B-bfloat16-edits-smoke,"Иә, иә!"
freedom_ai_labs_0018,Qwen3-8B-bfloat16-edits-smoke,"Ах, сізге қай орындар ыңғайлы болады? Мұнда алдыңғы қатарда бесінші қатар бос екен. сізге терезеден жаны ма немесе проходтан ба орын."
freedom_ai_labs_0019,Qwen3-8B-bfloat16-edits-smoke,", маған тереза жақты жасап беріңізші ы ең алдыңғы қатардан!"
freedom_ai_labs_0020,Qwen3-8B-bfloat16-edits-smoke,"Бес А орнын таңдайын, онда сізге А қазір өтіп жатырмын тіркеуден."
