id,model,cleaned_text
freedom_ai_labs_0001,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Сәлеметсіз! Менің есімім Жанель. Сізге қандай көмек көрсетсеңіз?
freedom_ai_labs_0002,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Саламатсыз ба? Мен қазір Шымкент Ақтөбе бойынша бүгін ұшамын да Шымкенттен  сұрайын дегенім регистрация қалай жасаймыз?
freedom_ai_labs_0003,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,", осы номер арқылы алдыңыз ба билетіңізді?"
freedom_ai_labs_0004,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Иә!
freedom_ai_labs_0005,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Шымкент-Ақтөбе бағыты бойынша.
freedom_ai_labs_0006,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Иә!
freedom_ai_labs_0007,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Аха, сізге  Скать әуе компаниясының сайтына кіру керек болады."
freedom_ai_labs_0008,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Сереза гугл кіріп ба?
freedom_ai_labs_0009,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Иә.
freedom_ai_labs_0010,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Сосын!
freedom_ai_labs_0011,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Содан кейін өзіңіздің нөмір бронь нөмірімен, өзіңіздің тегіңізді жазсаңыз әрі қарай регистрация і жазылып тұрады, сол жерге түсінікті көрсетіліп тұрады."
freedom_ai_labs_0012,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"А негізі максимум телефоннан регистрация жасай алмасам, қырық минут алды болуым керек қой, дұрыс па?"
freedom_ai_labs_0013,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Ия.
freedom_ai_labs_0014,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Перевод салып беріңіз ма? Телефон бойынша мен сізге айтамын.
freedom_ai_labs_0015,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Аха, жақсы қазір онда желіде күтсеңіз, мен сіз үшін өтіп көремін."
freedom_ai_labs_0016,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Желде күткеніңіз үшін рахмет! Естіп тұрын ба?
freedom_ai_labs_0017,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Иә, иә!"
freedom_ai_labs_0018,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Ах, сізге қай орындар ыңғайлы болады? Мұнда алдыңғы қатарда бесінші қатар болып екен. сізге терезеден жаны ма немесе проходтан ба орын."
freedom_ai_labs_0019,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,", маған тереза жақты жасап беріңізші ы ең алдыңғы қатардан!"
freedom_ai_labs_0020,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Бес А орнын таңдайын, онда сізге А қазір өтіп жатырмын тіркеуден."
freedom_ai_labs_0021,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Мына ша бес ғ жақты болады ма?
freedom_ai_labs_0022,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Бес ф жағы бос емес екен, бес а ғана бос екен."
freedom_ai_labs_0023,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Хорошо, тиынымды айтсам болды ма?"
freedom_ai_labs_0024,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"жоқ, қазір күте тұрсыз, мен сізге посадочный талоныңызды жіберетін боламын."
freedom_ai_labs_0025,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Ештеңе айту қажет жоқ та.
freedom_ai_labs_0026,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Жоқ, ештеңе айтпасаңыз да болады. Қазір тіркелген өткен болатынмын."
freedom_ai_labs_0027,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Үш көрік түсті.
freedom_ai_labs_0028,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Сіздің почтаңызға жіберетіні боламын, тексеріп көрсеңіз."
freedom_ai_labs_0029,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Почта мысалы коммуна деген ба?
freedom_ai_labs_0030,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Иә.
freedom_ai_labs_0031,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Сол жерден скачать етіп ала алады ма?
freedom_ai_labs_0032,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Иә, қазір кіріп көріп аласыз ба? Сізге  келді ме? Тексеріп көрсеңіз."
freedom_ai_labs_0033,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Менде қазір сізбен сөйлесіп тұрған, иә."
freedom_ai_labs_0034,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"А келмейді аха, жақсы онда і кейін тексеріп көрсеңіз болады. Сол скачать етіп аэропортқа барғанда посадочный талоныңызды көрсетсеңіз і өте бересіз."
freedom_ai_labs_0035,Qwen3-8B-GGUF-Q8_0-edits-v2-all215," и қараныз, мысалы қазір регистрация жасап қойдық, дұрыс па?"
freedom_ai_labs_0036,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Иә, жасап қойдық."
freedom_ai_labs_0037,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Енді қараңыздар, мысалға, қырық минут емес, отыз бес минут қалғанына барсамын да кіріп кете аламын ғой, дұрыс па?"
freedom_ai_labs_0038,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Иә, кіргізеді түсті."
freedom_ai_labs_0039,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Проблема жоқ та.
freedom_ai_labs_0040,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Иә, бірақ кешікпей барғаныз дұрыс болады."
freedom_ai_labs_0041,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Ах, түсінді. Үлкен рахмет! Сау аман болыңыздар!"
freedom_ai_labs_0042,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Ах, хабарласқанызға рахмет! Сау болыңыз!"
freedom_ai_labs_0043,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Растықты.
freedom_ai_labs_0044,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Сәлеметсіз бе?  маған жаңа смс келді де сіздің заказ не сіз куплен деп. Не себепті екенін біліп бере аласыз ба?
freedom_ai_labs_0045,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Сіз чоколадтан тапсырыс жасап па едіңіз?
freedom_ai_labs_0046,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Жоқ, Чоколайфтан бассейнға сертификат алғаны едік қой."
freedom_ai_labs_0047,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Сіз қазір осы номер арқылы алдыңыз ба?
freedom_ai_labs_0048,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Иә,"
freedom_ai_labs_0049,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,қазір тексеріп көремін
freedom_ai_labs_0050,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,қандай ы жазу шықты дедіңіз.
freedom_ai_labs_0051,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Заказ не выкуплен шықты.
freedom_ai_labs_0052,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,", түсіндім. Иә, он екі мың алты жүз. Қазір бағанызға түскенін көріп тұрмын. Сол соманы төледіңіз ғой, ?"
freedom_ai_labs_0053,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Иә!
freedom_ai_labs_0054,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,", болды так развлекательный комплекс доска  сертификат алыпсыз взрослый билет."
freedom_ai_labs_0055,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Жиырма Иә, иә, мына бүгінге МХМ болды. Онда қазір сізге сертификатты шығарып беремін. Ол жерде сома обработкадан болып, дұрыс жасалынбай қалған ғой қазір сізге."
freedom_ai_labs_0056,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Хорошо,"
freedom_ai_labs_0057,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,қазір бір минут.
freedom_ai_labs_0058,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,", түсіндім, сіз бүгінге дейін бір взрослый билетті, а? Ол тура сол моментте сіздің алдыңыздан біреу сатып алып кетті де, сондықтан сертификат шықпай қапты."
freedom_ai_labs_0059,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Үш билет үш билетте ма?
freedom_ai_labs_0060,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Үш билет иә сол  ондай кӛлемі сертификат жоқ қазір. Яғни сайттан қарасам ужоқ мүлдем жоқ, тек ертеңге бар екен."
freedom_ai_labs_0061,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Ертеңдікін алып бүгінгі барсақ болмайды ма бізге?
freedom_ai_labs_0062,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Олай болмайды, тек дотированный күнбе-күнге барады."
freedom_ai_labs_0063,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,", енді ақшаны қайтару жасаң болады ма?"
freedom_ai_labs_0064,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Иә, болады. Сізге онда картаңызға қайтарып берейін. Иә, ол нұ әдетте сразу түседі, бірақ стандартты үш жұмыс күннің ішінде дейін мүмкін, бірақ бүгін түсетін шығар, өйткені жаңа ғана төледіңіз бе?"
freedom_ai_labs_0065,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"С все хорошо, ондай возврата жіберсеңіз."
freedom_ai_labs_0066,Qwen3-8B-GGUF-Q8_0-edits-v2-all215, Болды Онда он екі мың алты жүз теңгені картаңызға қайтарамын.
freedom_ai_labs_0067,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Ға рахмет! Көп қапсалон!
freedom_ai_labs_0068,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Оқасыңыз жоқ, сау болыңыз!"
freedom_ai_labs_0069,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Здравствуйте, уже больше тридцати минут прошло, до сих пор моего заказа нет."
freedom_ai_labs_0070,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Как молоко обращается?
freedom_ai_labs_0071,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,Елена!
freedom_ai_labs_0072,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Елена, сі этого номера заказывали."
freedom_ai_labs_0073,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Да мне срочно надо, у меня дети говорят э просят"
freedom_ai_labs_0074,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Или нет, это что, Подождите. Подождите пожалуйста заказ на еду"
freedom_ai_labs_0075,Qwen3-8B-GGUF-Q8_0-edits-v2-all215,"Елена, так приносим извинения, что задерживаемся, курьеры немного не успевают, так как много заказов, но ваш заказ уже первый на очереди, сейчас курьер должен забрать."
