id,model,cleaned_text
freedom_ai_labs_0001,Qwen3-8B-GGUF-Q8_0,Сәлеметсіз! Менің есімім Жанель. Сізге қандай көмек көрсетсеңіз?
freedom_ai_labs_0002,Qwen3-8B-GGUF-Q8_0,"Сәлеметсіз бе? Мен қазір Шымкент-Ақтөбе бойынша бүгін ұшамын, да Шымкенттен ыыы сұрайын дегенім, регистрация қалай жасаймыз?"
freedom_ai_labs_0003,Qwen3-8B-GGUF-Q8_0,"Мхм, осы номер арқылы алдыңыз ба, билетіңізді?"
freedom_ai_labs_0004,Qwen3-8B-GGUF-Q8_0,Иә!
freedom_ai_labs_0005,Qwen3-8B-GGUF-Q8_0,Шымкент-Ақтөбе бағыты бойынша.
freedom_ai_labs_0006,Qwen3-8B-GGUF-Q8_0,Иә!
freedom_ai_labs_0007,Qwen3-8B-GGUF-Q8_0,"Аха, сізге III Скат әуе компаниясының сайтына кіру керек болады."
freedom_ai_labs_0008,Qwen3-8B-GGUF-Q8_0,"Сереза, Google-ға кіреміз бе?"
freedom_ai_labs_0009,Qwen3-8B-GGUF-Q8_0,Иә.
freedom_ai_labs_0010,Qwen3-8B-GGUF-Q8_0,Сосын!
freedom_ai_labs_0011,Qwen3-8B-GGUF-Q8_0,"Содан кейін өзіңіздің нөмірін бронь бронь нөмірімен, өзіңіздің тегіңізді жазсаңыз, әрі қарай регистрация і орысша жазылып тұрады, сол жерге түсінікті көрсетіліп тұрады."
freedom_ai_labs_0012,Qwen3-8B-GGUF-Q8_0,"А негізі максимум телефоннан регистрация жасай алмасам, қырық минут алды болуым керек қой, дұрыс па?"
freedom_ai_labs_0013,Qwen3-8B-GGUF-Q8_0,Ия.
freedom_ai_labs_0014,Qwen3-8B-GGUF-Q8_0,Перевод салып беріңіздер ма? Телефон бойынша мен сізге айтамын.
freedom_ai_labs_0015,Qwen3-8B-GGUF-Q8_0,"Аха, жақсы, қазір онда желіде күтсеңіз, мен сіз үшін өтіп көрейін."
freedom_ai_labs_0016,Qwen3-8B-GGUF-Q8_0,Желде күткеніңіз үшін рахмет! Естіп тұрмын ба?
freedom_ai_labs_0017,Qwen3-8B-GGUF-Q8_0,"Иә, иә!"
freedom_ai_labs_0018,Qwen3-8B-GGUF-Q8_0,"Аха, сізге қай орындар ыңғайлы болады? Мұнда алдыңғы қатарда бесінші қатар бос екен. Сізге терезеден жаны ма, немесе проходтан ба орын."
freedom_ai_labs_0019,Qwen3-8B-GGUF-Q8_0,"Ыыы, маған тереза жақты жасап беріңізші, ы ең алдыңғы қатардан!"
freedom_ai_labs_0020,Qwen3-8B-GGUF-Q8_0,"Бес А орнын таңдайын, онда сізге А қазір өтіп жатырмын тіркеуден."
freedom_ai_labs_0021,Qwen3-8B-GGUF-Q8_0,Мына ша бес ф жақ болады ма?
freedom_ai_labs_0022,Qwen3-8B-GGUF-Q8_0,"Бес Ф жағы бос емес екен, бес А ғана бос екен."
freedom_ai_labs_0023,Qwen3-8B-GGUF-Q8_0,"Хорошо, тиынымды айтсам болды ма?"
freedom_ai_labs_0024,Qwen3-8B-GGUF-Q8_0,"Ыыы жоқ, қазір күте тұрсаңыз, мен сізге посадочный талоныңызды жіберетін боламын."
freedom_ai_labs_0025,Qwen3-8B-GGUF-Q8_0,Ештеңе айту қажеті жоқ та.
freedom_ai_labs_0026,Qwen3-8B-GGUF-Q8_0,"Жоқ, ештеңе айтпасаңыз да болады. Қазір тіркеден өткен болатынмын."
freedom_ai_labs_0027,Qwen3-8B-GGUF-Q8_0,Үш көрік түстің.
freedom_ai_labs_0028,Qwen3-8B-GGUF-Q8_0,"Сіздің поштаңызға жіберетін боламын, тексеріп көрсеңіз."
