id,model,cleaned_text
freedom_ai_labs_normalized_0001,Qwen3-8B-bfloat16-normalized-edits-v2,сәлеметсіз менің есімім жанель сізге қандай көмек көрсетсеңіз
freedom_ai_labs_normalized_0002,Qwen3-8B-bfloat16-normalized-edits-v2,саламатсыз ба мен қазір шымкент ақтөбе бойынша бүгін ұшамын да шымкенттен сұрайын дегенім регистрация қалай жасаймыз
freedom_ai_labs_normalized_0003,Qwen3-8B-bfloat16-normalized-edits-v2,мхм осы номер арқылы алдыңыз ба билетіңізді
freedom_ai_labs_normalized_0004,Qwen3-8B-bfloat16-normalized-edits-v2,иә
freedom_ai_labs_normalized_0005,Qwen3-8B-bfloat16-normalized-edits-v2,шымкент ақтөбе бағыты бойынша
freedom_ai_labs_normalized_0006,Qwen3-8B-bfloat16-normalized-edits-v2,иә
freedom_ai_labs_normalized_0007,Qwen3-8B-bfloat16-normalized-edits-v2,аха сізге скат әуе компаниясының сайтына кіру керек болады
freedom_ai_labs_normalized_0008,Qwen3-8B-bfloat16-normalized-edits-v2,сереза гугл кіреміз ба
freedom_ai_labs_normalized_0009,Qwen3-8B-bfloat16-normalized-edits-v2,иә
freedom_ai_labs_normalized_0010,Qwen3-8B-bfloat16-normalized-edits-v2,сосын
freedom_ai_labs_normalized_0011,Qwen3-8B-bfloat16-normalized-edits-v2,содан кейін өзіңіздің нөмір бронь бронь нөмірімен өзіңіздің тегіңізді жазсаңыз әрі қарай регистрация і орысша жазылып тұрады сол жерге түсінікті көрсетіліп тұрады
freedom_ai_labs_normalized_0012,Qwen3-8B-bfloat16-normalized-edits-v2,а негізі максимум телефоннан регистрация жасай алмасам қырық минут алды болуым керек қой дұрыс па
freedom_ai_labs_normalized_0013,Qwen3-8B-bfloat16-normalized-edits-v2,ия
freedom_ai_labs_normalized_0014,Qwen3-8B-bfloat16-normalized-edits-v2,перевод салып беріңіздер ма телефон бойынша мен сізге айтамын
freedom_ai_labs_normalized_0015,Qwen3-8B-bfloat16-normalized-edits-v2,аха жақсы қазір онда желіде күтсеңіз мен сіз үшін өтіп көрейін
